"id","PNU","대분류","소분류","관리번호","사업장명","업종명","영업상태","상세영업상태코드","상세영업상태","인허가일자","폐업일자","도로명주소","지번주소","주소분리여부","주소보정성공여부","개방자치단체코드","원본좌표X","원본좌표Y"
9612,"4113310100141900000",동물,도축업,"641000000520180001",한국축산혁신협동조합,,폐업,"0002",폐업,2018-03-14,2024-03-13,"경기도 성남시 중원구 둔촌대로 79, 1층 (성남동)",경기도 성남시 중원구 성남동  4190번지 0호 ,false,,"6410000",211258.126050314,436467.042593183
9799,"4113110100100340000",동물,동물미용업,"378000004920230012",동물병원 더 하임,,영업/정상,"0000",정상,2023-07-04,,"경기도 성남시 수정구 수정로 273, 수정빌딩 1층 (신흥동)",경기도 성남시 수정구 신흥동 34 수정빌딩 ,false,true,"3780000",212818.475436898,438579.588327304
9801,"4113110100100300002",동물,동물미용업,"378000004920230014",스타동물의료센터,,영업/정상,"0000",정상,2023-07-28,,"경기도 성남시 수정구 수정로 287, 2층 (신흥동)",경기도 성남시 수정구 신흥동 30-2 2층 ,false,true,"3780000",212888.115677533,438697.984598845
9802,"4113310300144030000",동물,동물미용업,"378000004920230015",서울동물병원,,영업/정상,"0000",정상,2023-08-11,,"경기도 성남시 중원구 산성대로 388-1, 1층 (금광동)",경기도 성남시 중원구 금광동 4403 ,false,true,"3780000",213920.192888635,438281.71088848
9658,"4113511400101250003",동물,동물미용업,"378000004920180092",분당필동물병원,,영업/정상,"0000",정상,2018-08-14,,경기도 성남시 분당구 금곡로15번길 1 (구미동),경기도 성남시 분당구 구미동 125-3 ,false,true,"3780000",209743.913477779,426872.615569616
9817,"4113110800105090001",동물,동물미용업,"378000004920240007",위례 바른 동물의료센터,,영업/정상,"0000",정상,2024-04-03,,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 201호 (창곡동)",경기도 성남시 수정구 창곡동 509-1 우성트램타워 ,false,true,"3780000",212552.60409159,441182.813544656
9756,"4113310400116330000",동물,동물미용업,"378000004920210001",동물병원 Dr.정,,영업/정상,"0000",정상,2021-01-18,,"경기도 성남시 중원구 산성대로 498, 1층 102호 (은행동)",경기도 성남시 중원구 은행동 1633 ,false,true,"3780000",214315.821244898,439277.377871735
9760,"4113310500129990026",동물,동물미용업,"378000004920210011",상대원 동물병원,,영업/정상,"0000",정상,2021-03-30,,"경기도 성남시 중원구 희망로 350, 1층 (상대원동)",경기도 성남시 중원구 상대원동 2999-26 ,false,true,"3780000",213942.901232111,437211.344962206
9682,"4113510800105900000",동물,동물미용업,"378000004920180135",메르시동물병원,,영업/정상,"0000",정상,2018-09-27,,"경기도 성남시 분당구 운중로 255, 티에스로드2 201호 (판교동)",경기도 성남시 분당구 판교동 590 티에스로드2 201호,false,true,"3780000",208031.730776591,431939.457332015
9696,"4113510500100800001",동물,동물미용업,"378000004920190001",미래동물의료센터,,영업/정상,"0000",정상,2019-01-03,,"경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",경기도 성남시 분당구 서현동 80-1 ,false,true,"3780000",211414.975241532,431396.057503657
9743,"4113110300100280001",동물,동물미용업,"378000004920200017",미래동물의료센터 성남점,,폐업,"0002",폐업,2020-04-16,2023-12-28,"경기도 성남시 수정구 수정로 130, 창도빌딩 2층 (수진동)",경기도 성남시 수정구 수진동 28-1 창도빌딩 ,false,true,"3780000",211864.688556887,437706.627926558
9700,"4113511000105640005",동물,동물미용업,"378000004920190012","365동판교동물병원",,폐업,"0002",폐업,2019-02-01,2025-06-24,"경기도 성남시 분당구 판교역로14번길 20, (주)코레드디엔씨 2층 201호 (백현동)",경기도 성남시 분당구 백현동 564-5 (주)코레드디엔씨 201호,false,true,"3780000",209799.185851789,431493.961131531
9939,"4113110800105620001",동물,동물병원,"378000001020260002",위례24시 한결같은 동물병원,,영업/정상,"0000",정상,2026-06-12,,"경기도 성남시 수정구 위례광장로 21-9, 위례우남역KCC웰츠타워 2014,2015,2016호 (창곡동)",경기도 성남시 수정구 창곡동 562-1 위례우남역KCC웰츠타워 ,false,,"3780000",212326.523281432,440358.472170905
9919,"4113110800105090000",동물,동물병원,"378000001020220006",광장동물병원,,폐업,"0002",폐업,2022-08-31,2023-09-30,"경기도 성남시 수정구 위례광장로 300, 101호 (창곡동)",경기도 성남시 수정구 창곡동 509 101호,false,,"3780000",212556.476317272,441263.937106941
9865,"4113110800105130002",동물,동물병원,"378000001020160008",위례나무동물병원,,영업/정상,"0000",정상,2016-07-19,,"경기도 성남시 수정구 위례동로 147, 106호 (창곡동, 위례건아타워)",경기도 성남시 수정구 창곡동 513-2 ,false,,"3780000",213207.623604445,441176.244929279
